TransactionID,ProductID,Date,Quantity,Price
1,136,2023-03-13,8,245.28867978466315
2,121,2023-06-09,2,355.6037761631049
3,179,2023-04-18,7,25.393344623109293
4,142,2023-09-03,10,260.75811016382397
5,101,2023-06-21,1,212.49077502252746
6,144,2023-09-11,1,325.8246038782195
7,134,2023-11-06,3,182.17942192815713
8,154,2023-01-30,1,101.79196881863326
9,128,2023-11-03,7,289.8228654747223
10,192,2023-10-19,9,111.05671343097725
11,183,2023-05-16,10,17.483706273431725
12,162,2024-01-25,2,344.47820244932007
13,151,2023-10-18,8,199.65617207265603
14,186,2023-01-31,8,405.01482459007025
15,143,2023-11-30,10,293.555772778378
16,113,2023-11-07,3,400.9425695675346
17,133,2023-12-22,1,372.7716584095281
18,173,2023-08-08,9,458.95960829804295
19,172,2023-06-03,6,363.442784424692
20,183,2024-01-17,6,298.531656101504
21,123,2023-12-18,6,186.0341285135571
22,146,2023-05-13,1,283.052288359258
23,194,2023-08-22,3,458.9483792790452
24,150,2023-02-07,5,158.04350674085504
25,149,2023-08-26,3,472.55376651304493
26,114,2023-10-25,2,243.64429618614815
27,143,2023-07-29,8,192.49895860084385
28,137,2024-01-14,2,473.5217319101838
29,149,2023-07-02,8,389.0601946435698
30,169,2023-09-25,5,350.66620135406765
31,198,2023-12-05,7,157.3063020085613
32,198,2023-09-18,7,201.4828622500082
33,190,2023-11-13,7,207.74293908408686
34,115,2023-07-09,6,97.24829913477548
35,115,2023-05-17,5,129.089076934797
36,102,2023-09-01,6,380.3139523073694
37,184,2023-08-02,5,157.79648921982837
38,179,2023-06-18,5,188.28877960371125
39,105,2023-05-20,2,150.479985034575
40,156,2023-02-11,4,409.53672904583146
41,179,2023-04-07,6,23.21256853784655
42,139,2023-09-26,10,48.628039166555354
43,110,2023-07-02,1,252.75589630069103
44,125,2023-08-27,3,442.86736311364854
45,176,2023-07-02,8,19.186590893239696
46,129,2023-02-07,5,494.4083807486307
47,169,2023-05-31,1,420.9115115118517
